name,pct_stem_2000,pct_business_2000,pct_health_2000,pct_arthuman_2000,pct_socialscience_2000,pct_publicsocial_2000,pct_multidisci_2000,pct_tradepersonal_2000,scorecard_median_earnings_2011
Herzing University,49.269588,18.061089,11.022576,0.0,0.0,3.7184596,0.0,17.928288,42300.0
Hesston College,3.5971222,12.94964,23.741007,0.0,2.1582735,5.7553959,46.043167,5.7553959,35400.0
Hickey College,10.194175,66.019417,0.0,18.446602,0.0,5.3398056,0.0,0.0,30500.0
High Point University,17.398945,42.530754,0.35149384,6.8541303,23.37434,0.87873465,8.611599,0.0,37500.0
"Highland Community College of Freeport, IL",3.4883718,11.627907,6.5891471,0.77519381,0.0,0.0,69.767441,7.7519379,25900.0
"Highland Community College of Highland, KS",21.64179,23.880596,11.19403,4.477612,33.582088,5.2238808,0.0,0.0,33200.0
Highline Community College,5.3134966,12.433581,7.9702444,1.8065888,1.7003188,7.0138149,59.404888,4.3570671,36100.0
Hilbert College,0.94339621,33.490566,0.0,3.7735848,1.4150944,56.603775,3.7735848,0.0,39000.0
Hill College,10.0,15.357143,23.928572,1.7857143,3.2142856,7.8571429,12.142858,25.714285,28200.0
Hillsborough Community College,0.89935762,3.7687366,16.702356,0.0,0.042826552,29.593147,48.993576,0.0,32500.0
Hinds Community College,9.0690212,26.083466,22.953451,2.0064206,7.3836279,4.8154092,10.914927,16.773676,25400.0
Hiram College,18.577076,28.853754,1.9762846,11.462451,36.758896,0.0,2.3715415,0.0,39000.0
Hobart And William Smith Colleges,16.262135,0.0,0.0,26.45631,42.475727,0.72815531,14.077671,0.0,48600.0
Hobart Institute Of Welding Technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,47000.0
Hocking Technical College,30.63973,21.436588,33.5578,0.0,0.0,6.5095401,2.8058362,5.0505052,28800.0
Hodges University,16.216217,55.855854,9.9099102,0.0,0.0,18.018019,0.0,0.0,38100.0
Hofstra University,12.612613,31.111111,3.5435436,10.750751,37.477478,0.0,4.5045042,0.0,53200.0
Hohokus School - RETS/Nutley,78.91156,21.088436,0.0,0.0,0.0,0.0,0.0,0.0,36600.0
Hollins University,12.422359,3.1055901,0.0,37.267082,41.614906,0.0,5.5900621,0.0,37000.0
Holmes Community College,8.636363,8.636363,22.045454,0.0,0.0,0.0,45.68182,15.0,28300.0
Holy Family University,3.9548023,23.163841,15.819209,4.8022599,44.350281,4.519774,3.3898306,0.0,49900.0
Holyoke Community College,3.4770515,29.902641,9.3184977,4.0333796,0.0,7.3713489,43.393604,2.5034771,29100.0
Hood College,19.889503,15.469613,0.0,10.497237,42.541435,11.049724,0.55248618,0.0,43100.0
Hope College,19.42959,15.508021,4.6345811,23.529411,28.698751,3.2085562,4.9910874,0.0,43300.0
Horry - Georgetown Technical College,24.662813,26.01156,19.075144,0.0,0.0,9.8265896,9.2485552,11.175337,25100.0
Houghton College,14.005602,33.613445,0.0,22.969187,21.288515,0.0,8.1232491,0.0,39200.0
Housatonic Community College,0.0,24.825174,28.321678,3.4965036,0.0,11.538462,30.76923,1.048951,30100.0
Houston Baptist University,23.778502,21.824104,11.726384,20.19544,22.475569,0.0,0.0,0.0,43600.0
